Stock;Country;Year;CatchCategory;ReportingCategory;CATONRaisedOrImported;MisreportedArea;Area;Season;SeasonType;Fleet;CATON;Effort;UnitEffort;OfficialLandings;SampledOrEstimated;SampledCatch;No. of Length Samples;No. of Length Measured;No. of Age Samples;No. Age Readings
hom.27.3a4bc7d;Belgium;2020;Landings;Reported;Imported_Data; ;27.4.b;2;Quarter;TrawlPlus;1214;131147;kWd;1000;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;Belgium;2020;Landings;Reported;Imported_Data; ;27.4.c;2;Quarter;OTB_CRU_70-99_0_0_all;265;9382;kWd;0;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;Belgium;2020;Landings;Reported;Imported_Data; ;27.4.c;2;Quarter;TrawlPlus;6880;228459;kWd;7000;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;Belgium;2020;Landings;Reported;Imported_Data; ;27.7.d;2;Quarter;TrawlPlus;5434;299382;kWd;5000;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;Denmark;2020;BMS landing;Reported;Imported_Data; ;27.3.a.nshm;2;Quarter;MIS_MIS_0_0_0_HC;0;-9;NA;0;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;Denmark;2020;Discards;Reported;Imported_Data; ;27.3.a.nshm;2;Quarter;MIS_MIS_0_0_0_HC;0;-9;NA;0;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;Denmark;2020;Landings;Reported;Imported_Data; ;27.3.a.nshm;2;Quarter;MIS_MIS_0_0_0_HC;5;-9;NA;5;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;Denmark;2020;Logbook Registered Discard;Reported;Imported_Data; ;27.3.a.nshm;2;Quarter;MIS_MIS_0_0_0_HC;0;-9;NA;0;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;Denmark;2020;BMS landing;Reported;Imported_Data; ;27.3.a.nshm;2;Quarter;MIS_MIS_0_0_0_IBC;0;-9;dop;0;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;Denmark;2020;Logbook Registered Discard;Reported;Imported_Data; ;27.3.a.nshm;2;Quarter;MIS_MIS_0_0_0_IBC;0;-9;dop;0;Estimated_Distribution;0;0;0;0;0
